"alim_grp_code","alim_grp_nom_fr","alim_grp_nom_eng","alim_ssgrp_code","alim_ssgrp_nom_fr","alim_ssgrp_nom_eng","alim_ssssgrp_code","alim_ssssgrp_nom_fr","alim_ssssgrp_nom_eng"
" 04 "," viandes, œufs, poissons "," meat, egg and fish "," 0401 "," viandes cuites "," cooked meat "," 040104 "," dinde "," turkey "
" 04 "," viandes, œufs, poissons "," meat, egg and fish "," 0401 "," viandes cuites "," cooked meat "," 040105 "," agneau et mouton "," lamb and mutton "
" 04 "," viandes, œufs, poissons "," meat, egg and fish "," 0401 "," viandes cuites "," cooked meat "," 040106 "," gibier "," game "
" 04 "," viandes, œufs, poissons "," meat, egg and fish "," 0401 "," viandes cuites "," cooked meat "," 040107 "," autres viandes "," other meats "
" 04 "," viandes, œufs, poissons "," meat, egg and fish "," 0401 "," viandes cuites "," cooked meat "," 040108 "," abats "," offals "
" 04 "," viandes, œufs, poissons "," meat, egg and fish "," 0402 "," viandes crues "," raw meat "," 040201 "," bœuf et veau "," beef and veal "
" 04 "," viandes, œufs, poissons "," meat, egg and fish "," 0402 "," viandes crues "," raw meat "," 040202 "," porc "," pork "
" 04 "," viandes, œufs, poissons "," meat, egg and fish "," 0402 "," viandes crues "," raw meat "," 040203 "," poulet "," poultry "
" 04 "," viandes, œufs, poissons "," meat, egg and fish "," 0402 "," viandes crues "," raw meat "," 040204 "," dinde "," turkey "
" 04 "," viandes, œufs, poissons "," meat, egg and fish "," 0402 "," viandes crues "," raw meat "," 040205 "," agneau et mouton "," lamb and mutton "
" 04 "," viandes, œufs, poissons "," meat, egg and fish "," 0402 "," viandes crues "," raw meat "," 040206 "," gibier "," game "
" 04 "," viandes, œufs, poissons "," meat, egg and fish "," 0402 "," viandes crues "," raw meat "," 040207 "," autres viandes "," other meats "
" 04 "," viandes, œufs, poissons "," meat, egg and fish "," 0402 "," viandes crues "," raw meat "," 040208 "," abats "," offals "
" 04 "," viandes, œufs, poissons "," meat, egg and fish "," 0403 "," charcuteries "," delicatessen meat "," 040301 "," jambons cuits "," cooked ham "
" 04 "," viandes, œufs, poissons "," meat, egg and fish "," 0403 "," charcuteries "," delicatessen meat "," 040302 "," jambons secs et crus "," raw and cured ham "
" 04 "," viandes, œufs, poissons "," meat, egg and fish "," 0403 "," charcuteries "," delicatessen meat "," 040303 "," saucisson secs "," dry sausages "
" 04 "," viandes, œufs, poissons "," meat, egg and fish "," 0403 "," charcuteries "," delicatessen meat "," 040304 "," saucisses et assimilés "," sausages "
" 04 "," viandes, œufs, poissons "," meat, egg and fish "," 0403 "," charcuteries "," delicatessen meat "," 040305 "," pâtés et terrines "," pâtés and terrines "
" 04 "," viandes, œufs, poissons "," meat, egg and fish "," 0403 "," charcuteries "," delicatessen meat "," 040306 "," rillettes "," rillettes "
" 04 "," viandes, œufs, poissons "," meat, egg and fish "," 0403 "," charcuteries "," delicatessen meat "," 040307 "," quenelles "," quenelles "
" 04 "," viandes, œufs, poissons "," meat, egg and fish "," 0403 "," charcuteries "," delicatessen meat "," 040308 "," autres spécialités charcutières "," other delicatessen "
" 04 "," viandes, œufs, poissons "," meat, egg and fish "," 0404 "," autres produits à base de viande "," other meat products "," 000000 "," - "," - "
" 04 "," viandes, œufs, poissons "," meat, egg and fish "," 0405 "," poissons cuits "," fish, cooked "," 000000 "," - "," - "
" 04 "," viandes, œufs, poissons "," meat, egg and fish "," 0406 "," poissons crus "," fish, raw "," 000000 "," - "," - "
" 04 "," viandes, œufs, poissons "," meat, egg and fish "," 0407 "," mollusques et crustacés cuits "," seafood, cooked "," 000000 "," - "," - "
" 04 "," viandes, œufs, poissons "," meat, egg and fish "," 0408 "," mollusques et crustacés crus "," seafood, raw "," 000000 "," - "," - "
" 04 "," viandes, œufs, poissons "," meat, egg and fish "," 0409 "," produits à base de poissons et produits de la mer "," fish products "," 000000 "," - "," - "
" 04 "," viandes, œufs, poissons "," meat, egg and fish "," 0410 "," œufs "," eggs "," 041001 "," œufs cuits "," eggs, cooked "
" 04 "," viandes, œufs, poissons "," meat, egg and fish "," 0410 "," œufs "," eggs "," 041002 "," œufs crus "," eggs, raw "
" 04 "," viandes, œufs, poissons "," meat, egg and fish "," 0410 "," œufs "," eggs "," 041003 "," omelettes et autres ovoproduits "," omelettes and other egg products "
" 05 "," lait et produits laitiers "," milk and milk products "," 0501 "," laits "," milk "," 050101 "," laits de vaches liquides (non concentrés) "," milk from cow, liquid (not concentrated) "
" 05 "," lait et produits laitiers "," milk and milk products "," 0501 "," laits "," milk "," 050102 "," laits autres que de vache "," milk, other than from cow "
" 05 "," lait et produits laitiers "," milk and milk products "," 0501 "," laits "," milk "," 050103 "," laits de vache concentrés ou en poudre "," milk from cow, concentrated or in powder "
" 05 "," lait et produits laitiers "," milk and milk products "," 0502 "," produits laitiers frais et assimilés "," dairy products and deserts "," 050201 "," yaourts et spécialités laitières type yaourt "," yoghurts "
" 05 "," lait et produits laitiers "," milk and milk products "," 0502 "," produits laitiers frais et assimilés "," dairy products and deserts "," 050202 "," fromages blancs "," fromages blanc "
" 05 "," lait et produits laitiers "," milk and milk products "," 0502 "," produits laitiers frais et assimilés "," dairy products and deserts "," 050203 "," desserts lactés "," dairy desserts "
" 05 "," lait et produits laitiers "," milk and milk products "," 0502 "," produits laitiers frais et assimilés "," dairy products and deserts "," 050204 "," autres desserts "," other desserts "
" 05 "," lait et produits laitiers "," milk and milk products "," 0503 "," fromages "," cheese "," 050301 "," fromages à pâte molle "," soft cheeses "
" 05 "," lait et produits laitiers "," milk and milk products "," 0503 "," fromages "," cheese "," 050302 "," fromages à pâte persillée "," blue cheeses "
" 05 "," lait et produits laitiers "," milk and milk products "," 0503 "," fromages "," cheese "," 050303 "," fromages à pâte pressée "," semihard cheeses "
" 05 "," lait et produits laitiers "," milk and milk products "," 0503 "," fromages "," cheese "," 050304 "," fromage fondus "," processed cheeses "
" 05 "," lait et produits laitiers "," milk and milk products "," 0503 "," fromages "," cheese "," 050305 "," autres fromages et spécialités "," uncured cheeses and similar "
" 05 "," lait et produits laitiers "," milk and milk products "," 0504 "," crèmes et spécialités à base de crème "," creams "," 000000 "," - "," - "
" 06 "," boissons "," beverages "," 0601 "," eaux "," water "," 000000 "," - "," - "
" 06 "," boissons "," beverages "," 0602 "," boissons sans alcool "," non-alcoholic beverages "," 060201 "," jus "," juices "
" 06 "," boissons "," beverages "," 0602 "," boissons sans alcool "," non-alcoholic beverages "," 060202 "," nectars "," nectars "
" 06 "," boissons "," beverages "," 0602 "," boissons sans alcool "," non-alcoholic beverages "," 060203 "," boissons rafraîchissantes sans alcool "," soft drinks "
" 06 "," boissons "," beverages "," 0602 "," boissons sans alcool "," non-alcoholic beverages "," 060204 "," boissons rafraîchissantes lactées "," dairy beverages "
" 06 "," boissons "," beverages "," 0602 "," boissons sans alcool "," non-alcoholic beverages "," 060205 "," boissons végétales "," plant-based drinks "
" 06 "," boissons "," beverages "," 0602 "," boissons sans alcool "," non-alcoholic beverages "," 060206 "," café, thé, cacao etc. prêts à consommer "," coffee, tea, cocoa beverages, etc. ready to drink "
" 06 "," boissons "," beverages "," 0602 "," boissons sans alcool "," non-alcoholic beverages "," 060207 "," boissons à reconstituer "," beverages, to reconstitute "
" 06 "," boissons "," beverages "," 0603 "," boisson alcoolisées "," alcoholic beverages "," 060301 "," vins "," wines "
" 06 "," boissons "," beverages "," 0603 "," boisson alcoolisées "," alcoholic beverages "," 060302 "," bières et cidres "," beers and ciders "
" 06 "," boissons "," beverages "," 0603 "," boisson alcoolisées "," alcoholic beverages "," 060303 "," liqueurs et alcools "," liqueurs & spirits "
" 06 "," boissons "," beverages "," 0603 "," boisson alcoolisées "," alcoholic beverages "," 060304 "," cocktails "," cocktails "
" 07 "," produits sucrés "," sugar and confectionery "," 0701 "," sucres, miels et assimilés "," sugars and honey "," 000000 "," - "," - "
" 07 "," produits sucrés "," sugar and confectionery "," 0702 "," chocolats et produits à base de chocolat "," chocolate and chocolate products "," 000000 "," - "," - "
" 07 "," produits sucrés "," sugar and confectionery "," 0703 "," confiseries non chocolatées "," non-chocolate confectionery "," 000000 "," - "," - "
" 07 "," produits sucrés "," sugar and confectionery "," 0704 "," confitures et assimilés "," jams "," 000000 "," - "," - "
" 08 "," glaces et sorbets "," ice cream and sorbet "," 0801 "," glaces "," ice cream "," 000000 "," - "," - "
" 08 "," glaces et sorbets "," ice cream and sorbet "," 0802 "," sorbets "," sorbet "," 000000 "," - "," - "
" 08 "," glaces et sorbets "," ice cream and sorbet "," 0803 "," desserts glacés "," frozen desserts "," 000000 "," - "," - "
" 09 "," matières grasses "," fats and oils "," 0901 "," beurres "," butters "," 000000 "," - "," - "
" 09 "," matières grasses "," fats and oils "," 0902 "," huiles et graisses végétales "," vegetable oils "," 000000 "," - "," - "
" 09 "," matières grasses "," fats and oils "," 0903 "," margarines "," margarines "," 000000 "," - "," - "
" 09 "," matières grasses "," fats and oils "," 0904 "," huiles de poissons "," fish oils "," 000000 "," - "," - "
" 09 "," matières grasses "," fats and oils "," 0905 "," autres matières grasses "," other fats "," 000000 "," - "," - "
" 10 "," aides culinaires et ingrédients divers "," miscellaneous "," 1001 "," sauces "," sauces "," 100101 "," sauces condimentaires "," condiment sauces "
" 10 "," aides culinaires et ingrédients divers "," miscellaneous "," 1001 "," sauces "," sauces "," 100102 "," sauces chaudes "," warm sauces "
" 10 "," aides culinaires et ingrédients divers "," miscellaneous "," 1001 "," sauces "," sauces "," 100103 "," sauces sucrées "," dessert sauces "
" 10 "," aides culinaires et ingrédients divers "," miscellaneous "," 1002 "," condiments "," condiments "," 000000 "," - "," - "
" 10 "," aides culinaires et ingrédients divers "," miscellaneous "," 1003 "," aides culinaires "," cooking aids "," 000000 "," - "," - "
" 10 "," aides culinaires et ingrédients divers "," miscellaneous "," 1004 "," sels "," salts "," 000000 "," - "," - "
" 10 "," aides culinaires et ingrédients divers "," miscellaneous "," 1005 "," épices "," spices "," 000000 "," - "," - "
" 10 "," aides culinaires et ingrédients divers "," miscellaneous "," 1006 "," herbes "," herbs "," 100601 "," herbes fraîches "," fresh herbs "
" 10 "," aides culinaires et ingrédients divers "," miscellaneous "," 1006 "," herbes "," herbs "," 100602 "," herbes séchées "," dried herbs "
" 10 "," aides culinaires et ingrédients divers "," miscellaneous "," 1007 "," algues "," seaweed "," 000000 "," - "," - "
" 10 "," aides culinaires et ingrédients divers "," miscellaneous "," 1008 "," denrées destinées à une alimentation particulière "," foods for particular nutritional uses "," 000000 "," - "," - "
" 10 "," aides culinaires et ingrédients divers "," miscellaneous "," 1009 "," ingrédients divers "," miscellaneous ingredients "," 000000 "," - "," - "
" 11 "," aliments infantiles "," baby food "," 1101 "," laits et boissons infantiles "," baby milk and beverages "," 000000 "," - "," - "
" 11 "," aliments infantiles "," baby food "," 1102 "," petits pots salés et plats infantiles "," baby dishes "," 000000 "," - "," - "
" 11 "," aliments infantiles "," baby food "," 1103 "," desserts infantiles "," baby deserts "," 000000 "," - "," - "
" 11 "," aliments infantiles "," baby food "," 1104 "," céréales et biscuits infantiles "," baby biscuits and cereals "," 000000 "," - "," - "
